Kab_Kota,Kode_Kab,provinsi,X,Y,tahun,ndvi
SIMEULUE,1109,ACEH,96.085675,2.6133016,2015,0.710800415
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2015,0.754731302
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2015,0.799480185
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2015,0.771901738
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2015,0.708540417
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2015,0.735252583
ACEH BARAT,1105,ACEH,96.185458,4.456644,2015,0.804927974
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2015,0.731637491
PIDIE,1107,ACEH,96.0072061,5.0681582,2015,0.749435838
BIREUEN,1111,ACEH,96.6092168,5.0934648,2015,0.731016486
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2015,0.690968768
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2015,0.70172291
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2015,0.823562756
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2015,0.788916456
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2015,0.758873133
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2015,0.779360407
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2015,0.718415254
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2015,0.713637546
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2015,0.42840616
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2015,0.709692604
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2015,0.596034834
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2015,0.806619927
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2015,0.552791506
SIMEULUE,1109,ACEH,96.085675,2.6133016,2016,0.682227023
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2016,0.721755112
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2016,0.775356274
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2016,0.724330391
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2016,0.694140326
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2016,0.710021125
ACEH BARAT,1105,ACEH,96.185458,4.456644,2016,0.760932256
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2016,0.660774823
PIDIE,1107,ACEH,96.0072061,5.0681582,2016,0.674475624
BIREUEN,1111,ACEH,96.6092168,5.0934648,2016,0.699923326
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2016,0.658916587
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2016,0.673094211
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2016,0.751558749
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2016,0.753730546
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2016,0.731176332
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2016,0.754484411
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2016,0.709469221
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2016,0.676621813
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2016,0.414106842
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2016,0.670958024
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2016,0.547454615
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2016,0.766502753
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2016,0.545240026
SIMEULUE,1109,ACEH,96.085675,2.6133016,2017,0.7041555
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2017,0.725168474
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2017,0.77886498
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2017,0.73137867
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2017,0.703068297
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2017,0.729433203
ACEH BARAT,1105,ACEH,96.185458,4.456644,2017,0.784679553
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2017,0.705583779
PIDIE,1107,ACEH,96.0072061,5.0681582,2017,0.72568728
BIREUEN,1111,ACEH,96.6092168,5.0934648,2017,0.719650399
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2017,0.704194219
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2017,0.664541831
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2017,0.782482665
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2017,0.755551405
