Kab_Kota,Kode_Kab,provinsi,X,Y,tahun,suhu
SIMEULUE,1109,ACEH,96.085675,2.6133016,2015,32.34401288
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2015,33.81179555
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2015,29.82663248
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2015,27.89930505
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2015,31.88133025
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2015,27.91172463
ACEH BARAT,1105,ACEH,96.185458,4.456644,2015,32.16067821
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2015,33.18209872
PIDIE,1107,ACEH,96.0072061,5.0681582,2015,29.81226015
BIREUEN,1111,ACEH,96.6092168,5.0934648,2015,31.79781775
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2015,33.61719908
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2015,33.01381039
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2015,30.82655755
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2015,29.77746925
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2015,26.66706932
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2015,31.00015104
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2015,28.83452208
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2015,29.36504151
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2015,39.58182474
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2015,31.72637125
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2015,37.61885947
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2015,33.25299959
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2015,35.31334095
SIMEULUE,1109,ACEH,96.085675,2.6133016,2016,32.4291079
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2016,34.12000956
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2016,30.15132824
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2016,28.61047337
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2016,32.37133733
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2016,28.64728753
ACEH BARAT,1105,ACEH,96.185458,4.456644,2016,32.35460282
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2016,34.05224963
PIDIE,1107,ACEH,96.0072061,5.0681582,2016,30.30772107
BIREUEN,1111,ACEH,96.6092168,5.0934648,2016,32.51146287
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2016,34.1563866
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2016,33.82027949
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2016,30.88270304
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2016,29.85597156
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2016,27.27850981
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2016,31.31864195
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2016,29.81699375
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2016,29.96628058
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2016,40.22957689
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2016,31.85069814
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2016,38.68198123
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2016,33.7143822
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2016,35.66772763
SIMEULUE,1109,ACEH,96.085675,2.6133016,2017,32.79927199
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2017,33.78425174
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2017,30.22382895
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2017,27.46186197
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2017,31.71074157
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2017,27.98640585
ACEH BARAT,1105,ACEH,96.185458,4.456644,2017,32.5428161
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2017,33.89336386
PIDIE,1107,ACEH,96.0072061,5.0681582,2017,29.94442224
BIREUEN,1111,ACEH,96.6092168,5.0934648,2017,32.24589648
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2017,33.60007965
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2017,32.61426843
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2017,31.0600372
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2017,30.06117329
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2017,26.50733494
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2017,31.91399662
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2017,28.97260938
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2017,30.17138121
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2017,40.98184549
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2017,32.01471728
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2017,37.34979092
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2017,33.46833896
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2017,35.32916285
SIMEULUE,1109,ACEH,96.085675,2.6133016,2018,32.13848037
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2018,33.68330494
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2018,29.55538222
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2018,27.02317927
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2018,31.69448026
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2018,27.55130408
ACEH BARAT,1105,ACEH,96.185458,4.456644,2018,32.0351275
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2018,33.44878828
PIDIE,1107,ACEH,96.0072061,5.0681582,2018,29.7997895
BIREUEN,1111,ACEH,96.6092168,5.0934648,2018,32.56776626
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2018,33.94938405
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2018,32.67635095
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2018,30.62325092
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2018,29.59173917
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2018,26.08144824
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2018,30.95901311
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2018,28.85446852
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2018,30.23765829
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2018,40.59603444
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2018,31.57155014
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2018,38.0237502
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2018,33.02557681
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2018,35.57591882
SIMEULUE,1109,ACEH,96.085675,2.6133016,2019,32.14056508
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2019,33.57914029
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2019,29.7439588
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2019,27.81794009
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2019,31.73345991
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2019,27.98999911
ACEH BARAT,1105,ACEH,96.185458,4.456644,2019,32.3323955
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2019,33.75030978
PIDIE,1107,ACEH,96.0072061,5.0681582,2019,30.06859753
BIREUEN,1111,ACEH,96.6092168,5.0934648,2019,31.88595795
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2019,33.49244549
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2019,32.81913255
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2019,30.91442124
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2019,29.5450073
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2019,26.50795612
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2019,31.17653813
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2019,28.84664798
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2019,29.9510527
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2019,40.17859542
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2019,31.59683522
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2019,37.54369628
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2019,32.96295073
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2019,34.73744999
SIMEULUE,1109,ACEH,96.085675,2.6133016,2020,32.25049652
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2020,33.96012301
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2020,29.77605399
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2020,28.51378417
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2020,31.80334184
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2020,28.19062821
ACEH BARAT,1105,ACEH,96.185458,4.456644,2020,32.38883984
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2020,33.32335102
PIDIE,1107,ACEH,96.0072061,5.0681582,2020,29.81067018
BIREUEN,1111,ACEH,96.6092168,5.0934648,2020,31.6243873
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2020,33.82606315
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2020,33.00304965
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2020,31.2056635
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2020,29.37883608
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2020,26.76115945
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2020,31.28678581
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2020,28.99427038
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2020,29.34070441
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2020,40.58903927
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2020,31.95705894
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2020,38.18530772
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2020,33.43060596
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2020,35.35954734
SIMEULUE,1109,ACEH,96.085675,2.6133016,2021,32.14363773
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2021,33.7856581
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2021,30.04185622
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2021,27.47481302
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2021,31.26451509
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2021,27.6214936
ACEH BARAT,1105,ACEH,96.185458,4.456644,2021,32.15575572
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2021,32.76093559
PIDIE,1107,ACEH,96.0072061,5.0681582,2021,29.4474502
BIREUEN,1111,ACEH,96.6092168,5.0934648,2021,31.90685312
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2021,33.30639368
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2021,32.38614094
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2021,30.74006955
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2021,29.81034344
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2021,26.15459487
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2021,31.15920777
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2021,28.65588297
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2021,29.35883434
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2021,40.31893003
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2021,31.20430218
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2021,37.24714493
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2021,33.40200399
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2021,35.08797587
SIMEULUE,1109,ACEH,96.085675,2.6133016,2022,32.65726705
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2022,34.05708339
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2022,30.00394591
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2022,27.50760344
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2022,31.31038227
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2022,27.62744833
ACEH BARAT,1105,ACEH,96.185458,4.456644,2022,32.21066403
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2022,33.08346318
PIDIE,1107,ACEH,96.0072061,5.0681582,2022,29.66943792
BIREUEN,1111,ACEH,96.6092168,5.0934648,2022,31.75207945
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2022,33.21194588
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2022,32.28749016
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2022,30.74303542
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2022,29.75843223
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2022,25.9110961
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2022,31.07268403
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2022,28.15943658
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2022,29.72513656
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2022,41.1137244
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2022,31.14312699
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2022,36.95496411
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2022,33.22056408
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2022,35.25774409
SIMEULUE,1109,ACEH,96.085675,2.6133016,2023,32.39480695
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2023,32.99470443
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2023,29.46640565
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2023,27.31905752
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2023,31.8552395
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2023,27.55122733
ACEH BARAT,1105,ACEH,96.185458,4.456644,2023,32.06227823
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2023,34.01468894
PIDIE,1107,ACEH,96.0072061,5.0681582,2023,29.68098578
BIREUEN,1111,ACEH,96.6092168,5.0934648,2023,32.3111634
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2023,33.94811883
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2023,32.63378866
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2023,30.76859699
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2023,29.32403715
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2023,25.89983713
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2023,30.86986595
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2023,28.70410163
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2023,30.14733574
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2023,41.61055605
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2023,31.69074547
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2023,37.65277458
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2023,32.59357556
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2023,35.24351188
SIMEULUE,1109,ACEH,96.085675,2.6133016,2024,31.93964246
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2024,34.10305879
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2024,30.1112561
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2024,29.56412884
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2024,32.84919026
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2024,29.13069522
ACEH BARAT,1105,ACEH,96.185458,4.456644,2024,32.68540223
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2024,32.97415971
PIDIE,1107,ACEH,96.0072061,5.0681582,2024,30.11652308
BIREUEN,1111,ACEH,96.6092168,5.0934648,2024,31.54303599
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2024,34.25199424
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2024,34.33784004
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2024,31.40881326
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2024,29.63396798
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2024,27.58375654
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2024,31.68912651
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2024,28.78750438
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2024,28.95386513
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2024,40.8128622
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2024,30.9074865
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2024,39.32195546
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2024,34.06535969
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2024,36.33158798
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2015,32.37810293
TABANAN,5102,BALI,115.0780151,-8.4293142,2015,31.56909424
BADUNG,5103,BALI,115.1883496,-8.5828534,2015,35.09733299
GIANYAR,5104,BALI,115.287581,-8.4806592,2015,33.88859226
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2015,35.49494938
BANGLI,5106,BALI,115.3467321,-8.2934637,2015,32.3450639
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2015,33.87566688
BULELENG,5108,BALI,114.9631008,-8.2006916,2015,32.65065394
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2015,39.44808741
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2016,31.97279533
TABANAN,5102,BALI,115.0780151,-8.4293142,2016,30.94155994
BADUNG,5103,BALI,115.1883496,-8.5828534,2016,34.83418296
GIANYAR,5104,BALI,115.287581,-8.4806592,2016,33.92775278
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2016,34.73197286
BANGLI,5106,BALI,115.3467321,-8.2934637,2016,30.01847883
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2016,32.58570467
BULELENG,5108,BALI,114.9631008,-8.2006916,2016,31.72631197
KOTA DENPASAR,5171,BALI,115.2209367,-8.6687141,2016,40.54822354
JEMBRANA,5101,BALI,114.6822027,-8.3123663,2017,30.64746719
TABANAN,5102,BALI,115.0780151,-8.4293142,2017,30.15281202
BADUNG,5103,BALI,115.1883496,-8.5828534,2017,33.55206546
GIANYAR,5104,BALI,115.287581,-8.4806592,2017,32.4789291
KLUNGKUNG,5105,BALI,115.4932667,-8.6662855,2017,32.86479581
BANGLI,5106,BALI,115.3467321,-8.2934637,2017,29.9792891
KARANGASEM,5107,BALI,115.5301697,-8.3741779,2017,32.13038446
BULELENG,5108,BALI,114.9631008,-8.2006916,2017,31.71716233
