Kab_Kota,Kode_Kab,provinsi,X,Y,tahun,landcover
SIMEULUE,1109,ACEH,96.085675,2.6133016,2015,3.520526147
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2015,4.963005986
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2015,2.782553655
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2015,2.771476991
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2015,5.282964285
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2015,3.482690932
ACEH BARAT,1105,ACEH,96.185458,4.456644,2015,4.478826421
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2015,6.50572954
PIDIE,1107,ACEH,96.0072061,5.0681582,2015,4.49785602
BIREUEN,1111,ACEH,96.6092168,5.0934648,2015,6.528452807
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2015,7.571210204
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2015,6.429720353
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2015,3.028384655
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2015,3.327704243
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2015,2.598994261
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2015,4.421989019
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2015,4.023109738
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2015,4.849969857
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2015,13.79784367
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2015,5.436729114
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2015,12.15204875
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2015,4.305054952
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2015,10.7823662
SIMEULUE,1109,ACEH,96.085675,2.6133016,2016,3.503088192
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2016,4.861519834
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2016,2.784969274
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2016,2.763205157
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2016,5.317509212
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2016,3.494941569
ACEH BARAT,1105,ACEH,96.185458,4.456644,2016,4.464824961
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2016,6.517946952
PIDIE,1107,ACEH,96.0072061,5.0681582,2016,4.496192756
BIREUEN,1111,ACEH,96.6092168,5.0934648,2016,6.545007247
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2016,7.59270036
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2016,6.384565491
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2016,3.010191006
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2016,3.276732362
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2016,2.615539114
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2016,4.382594268
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2016,4.037645341
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2016,4.77617861
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2016,13.79784367
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2016,5.377543729
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2016,12.15283512
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2016,4.239035373
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2016,10.80574742
SIMEULUE,1109,ACEH,96.085675,2.6133016,2017,3.521763543
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2017,4.787978431
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2017,2.773498311
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2017,2.759424686
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2017,5.269809439
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2017,3.447345035
ACEH BARAT,1105,ACEH,96.185458,4.456644,2017,4.371246006
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2017,6.50158542
PIDIE,1107,ACEH,96.0072061,5.0681582,2017,4.433215709
BIREUEN,1111,ACEH,96.6092168,5.0934648,2017,6.462085947
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2017,7.528427404
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2017,6.165862541
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2017,2.994652224
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2017,3.255003142
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2017,2.564268251
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2017,4.395369502
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2017,3.966600495
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2017,4.759676058
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2017,13.79784367
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2017,5.395625563
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2017,11.87724324
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2017,4.267343773
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2017,11.02860784
SIMEULUE,1109,ACEH,96.085675,2.6133016,2018,3.485932041
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2018,4.82677738
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2018,2.792585211
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2018,2.800957357
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2018,5.25022937
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2018,3.496671857
ACEH BARAT,1105,ACEH,96.185458,4.456644,2018,4.359098046
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2018,6.485206532
PIDIE,1107,ACEH,96.0072061,5.0681582,2018,4.432190356
BIREUEN,1111,ACEH,96.6092168,5.0934648,2018,6.400200846
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2018,7.594973178
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2018,6.083403238
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2018,2.970615264
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2018,3.234766753
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2018,2.571722526
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2018,4.325913173
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2018,3.988517537
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2018,4.811763997
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2018,13.774834
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2018,5.109485196
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2018,11.86533547
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2018,4.331925752
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2018,11.06691168
SIMEULUE,1109,ACEH,96.085675,2.6133016,2019,3.459041993
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2019,4.835519334
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2019,2.768247246
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2019,2.804373005
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2019,5.224725237
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2019,3.471628476
ACEH BARAT,1105,ACEH,96.185458,4.456644,2019,4.375966142
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2019,6.516330157
PIDIE,1107,ACEH,96.0072061,5.0681582,2019,4.401629347
BIREUEN,1111,ACEH,96.6092168,5.0934648,2019,6.376279132
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2019,7.661733639
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2019,6.095806647
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2019,2.99594462
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2019,3.197636932
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2019,2.568449917
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2019,4.334588122
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2019,3.935590405
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2019,4.797845746
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2019,13.774834
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2019,5.134215677
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2019,11.60277474
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2019,4.413455413
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2019,11.07215676
SIMEULUE,1109,ACEH,96.085675,2.6133016,2020,3.410061043
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2020,4.851638783
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2020,2.733144181
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2020,2.827048334
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2020,5.262989279
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2020,3.468754564
ACEH BARAT,1105,ACEH,96.185458,4.456644,2020,4.419008536
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2020,6.545851674
PIDIE,1107,ACEH,96.0072061,5.0681582,2020,4.422660831
BIREUEN,1111,ACEH,96.6092168,5.0934648,2020,6.377081639
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2020,7.665492091
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2020,6.191115057
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2020,3.072599407
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2020,3.100508425
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2020,2.541768535
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2020,4.305327762
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2020,3.836182328
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2020,4.84703991
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2020,13.774834
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2020,5.417777364
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2020,11.72932289
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2020,4.485905839
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2020,11.19693052
SIMEULUE,1109,ACEH,96.085675,2.6133016,2021,3.410061043
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2021,4.851638783
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2021,2.733144181
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2021,2.827048334
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2021,5.262989279
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2021,3.468754564
ACEH BARAT,1105,ACEH,96.185458,4.456644,2021,4.419008536
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2021,6.545851674
PIDIE,1107,ACEH,96.0072061,5.0681582,2021,4.422660831
BIREUEN,1111,ACEH,96.6092168,5.0934648,2021,6.377081639
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2021,7.665492091
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2021,6.191115057
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2021,3.072599407
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2021,3.100508425
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2021,2.541768535
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2021,4.305327762
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2021,3.836182328
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2021,4.84703991
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2021,13.774834
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2021,5.417777364
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2021,11.72932289
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2021,4.485905839
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2021,11.19693052
SIMEULUE,1109,ACEH,96.085675,2.6133016,2022,3.410061043
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2022,4.851638783
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2022,2.733144181
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2022,2.827048334
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2022,5.262989279
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2022,3.468754564
ACEH BARAT,1105,ACEH,96.185458,4.456644,2022,4.419008536
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2022,6.545851674
PIDIE,1107,ACEH,96.0072061,5.0681582,2022,4.422660831
BIREUEN,1111,ACEH,96.6092168,5.0934648,2022,6.377081639
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2022,7.665492091
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2022,6.191115057
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2022,3.072599407
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2022,3.100508425
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2022,2.541768535
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2022,4.305327762
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2022,3.836182328
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2022,4.84703991
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2022,13.774834
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2022,5.417777364
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2022,11.72932289
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2022,4.485905839
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2022,11.19693052
SIMEULUE,1109,ACEH,96.085675,2.6133016,2023,3.410061043
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2023,4.851638783
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2023,2.733144181
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2023,2.827048334
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2023,5.262989279
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2023,3.468754564
ACEH BARAT,1105,ACEH,96.185458,4.456644,2023,4.419008536
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2023,6.545851674
PIDIE,1107,ACEH,96.0072061,5.0681582,2023,4.422660831
BIREUEN,1111,ACEH,96.6092168,5.0934648,2023,6.377081639
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2023,7.665492091
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2023,6.191115057
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2023,3.072599407
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2023,3.100508425
